,Gini
0,0.0
1,0.0
2,0.0
3,0.07679999999999998
4,0.14960000000000007
5,0.14960000000000007
6,0.18320000000000003
7,0.21520000000000006
8,0.21520000000000006
9,0.21760000000000002
10,0.2784
11,0.2784
12,0.3064
13,0.3328
14,0.3328
15,0.364
16,0.364
17,0.41600000000000004
18,0.41600000000000004
19,0.4376
20,0.4376
21,0.4376
22,0.4104
23,0.4024
24,0.3808
25,0.4024
26,0.4224
27,0.44079999999999997
28,0.44079999999999997
29,0.44079999999999997
30,0.44720000000000004
31,0.44720000000000004
32,0.44720000000000004
33,0.4312
34,0.4224
35,0.4224
36,0.4224
37,0.4224
38,0.40880000000000005
39,0.4296
40,0.4296
41,0.40880000000000005
42,0.4296
43,0.4296
44,0.40880000000000005
45,0.40880000000000005
46,0.40880000000000005
47,0.40880000000000005
48,0.4224
49,0.4504
50,0.4656
51,0.4656
52,0.4848
53,0.4656
54,0.4448
55,0.4448
56,0.47040000000000004
57,0.4448
58,0.4448
59,0.47040000000000004
60,0.47040000000000004
61,0.47040000000000004
62,0.4488
63,0.4488
64,0.4488
65,0.4504
66,0.4504
67,0.4504
68,0.4504
69,0.492
70,0.4848
71,0.4848
72,0.4848
73,0.4848
74,0.5088
75,0.5024000000000001
76,0.5024000000000001
77,0.5088
78,0.5256000000000001
79,0.48240000000000005
80,0.48240000000000005
81,0.48240000000000005
82,0.48240000000000005
83,0.46320000000000006
84,0.48240000000000005
85,0.4736
86,0.4736
87,0.4736
88,0.49040000000000006
89,0.4736
90,0.4488
91,0.4488
92,0.4488
93,0.4488
94,0.4488
95,0.4488
96,0.4488
97,0.46640000000000004
98,0.46640000000000004
99,0.476
100,0.476
101,0.476
102,0.4928
103,0.516
104,0.516
105,0.516
106,0.516
107,0.516
108,0.516
109,0.5512
110,0.5304
111,0.5536000000000001
112,0.5536000000000001
113,0.5304
114,0.5512
115,0.5512
116,0.5512
117,0.5512
118,0.5512
119,0.5512
120,0.5376000000000001
121,0.5376000000000001
122,0.5224
123,0.5376000000000001
124,0.5376000000000001
125,0.5576000000000001
126,0.5464
127,0.5304
128,0.5248
129,0.5248
130,0.508
131,0.508
132,0.508
133,0.508
134,0.508
135,0.508
136,0.508
137,0.508
138,0.508
139,0.4696
140,0.48960000000000004
141,0.48960000000000004
142,0.48960000000000004
143,0.48960000000000004
144,0.48960000000000004
145,0.48960000000000004
146,0.48719999999999997
147,0.5056
148,0.5056
149,0.5056
150,0.5056
151,0.5056
152,0.5
153,0.5
154,0.5
155,0.516
156,0.516
157,0.5
158,0.5
159,0.516
160,0.5
161,0.5272
162,0.5224
163,0.5224
164,0.5224
165,0.5224
166,0.5224
167,0.5376000000000001
168,0.5616000000000001
169,0.5472
170,0.5472
171,0.5472
172,0.5256000000000001
173,0.5256000000000001
174,0.5256000000000001
175,0.5312
176,0.5312
177,0.5312
178,0.552
179,0.552
180,0.552
181,0.5672
182,0.5352
183,0.5352
184,0.552
185,0.552
186,0.5672
187,0.5672
188,0.5672
189,0.5672
190,0.5672
191,0.5672
192,0.5592
193,0.5592
194,0.5592
195,0.5592
196,0.5592
197,0.5816
198,0.5816
199,0.5648
